mV','seconds'
6.935,0.3435
6.935,0.34375
6.9317,0.344
6.9317,0.34425
6.9367,0.3445
6.9367,0.34475
6.9433,0.345
6.9433,0.34525
6.945,0.3455
6.945,0.34575
6.9433,0.346
6.9433,0.34625
6.945,0.3465
6.945,0.34675
6.9417,0.347
6.9417,0.34725
6.9417,0.3475
6.9433,0.34775
6.94,0.348
6.9417,0.34825
6.94,0.3485
6.9417,0.34875
6.9383,0.349
6.9417,0.34925
6.94,0.3495
6.9417,0.34975
6.9433,0.35
6.9417,0.35025
6.9383,0.3505
6.94,0.35075
6.9483,0.351
6.95,0.35125
6.9617,0.3515
6.9617,0.35175
6.9733,0.352
6.9733,0.35225
6.98,0.3525
6.9817,0.35275
6.9917,0.353
6.9917,0.35325
7.0033,0.3535
7.0033,0.35375
7.015,0.354
7.015,0.35425
7.0317,0.3545
7.0333,0.35475
7.0683,0.355
7.0717,0.35525
7.1217,0.3555
7.1517,0.35575
7.0417,0.356
7.0267,0.35625
6.8717,0.3565
6.93,0.35675
6.8933,0.357
6.915,0.35725
7.0017,0.3575
7.005,0.35775
7.0567,0.358
7.0567,0.35825
7.03,0.3585
7.0283,0.35875
6.98,0.359
6.9783,0.35925
6.91,0.3595
6.905,0.35975
6.8033,0.36
6.8,0.36025
6.7633,0.3605
6.7667,0.36075
6.8667,0.361
6.8717,0.36125
6.96,0.3615
6.9633,0.36175
7.02,0.362
7.0217,0.36225
7.0467,0.3625
7.05,0.36275
6.8483,0.363
6.845,0.36325
6.87,0.3635
6.8717,0.36375
6.9067,0.364
6.9083,0.36425
6.93,0.3645
6.9317,0.36475
6.9417,0.365
6.9433,0.36525
6.9517,0.3655
6.9517,0.36575
6.965,0.366
6.9667,0.36625
6.9817,0.3665
6.9817,0.36675
6.9933,0.367
6.9933,0.36725
6.9983,0.3675
6.9933,0.36775
6.9867,0.368
6.9867,0.36825
6.98,0.3685
6.98,0.36875
6.97,0.369
6.97,0.36925
6.9633,0.3695
6.9633,0.36975
6.96,0.37
